smiles	score
C[C@H](O)C(O)(CCN)c1cccc(C(N)C2=NC3=NC(N(C)C)=NC3=N2)c1	0.599432
CCS(=O)(=O)CCc1nc(-c2cc(=O)[nH]c(=O)[nH]2)cnc1OC(C)CO	0.470158
O=c1oc2cc(C3CCC3C3CCC(NC4CCC4)CC3)ccc2c(=O)c2ccccc12	0.429540
COc1cc(C(C)O)c2nc3ccccn3c2n1	0.402541
CCC(C)CCS(=O)(=O)CCc1ncco1	0.451228
CCOCC(N)C1CC2CC1CC2c1cccc2nc3c(OC(=O)[C@@H](C)N)ccnc3n12	0.482491
CS(=O)(=O)Cc1c(CO)cc(Br)cc1-c1ccncc1	0.297019
CC(CNC(N)=O)CC1=NC2=NC=NC2=N1	0.683856
CC1CC1c1cccc2c(C3CCCCC3)c(C(=O)O)sc12	0.475172
C1=NC2=NC(CSC3COCCO3)=NC2=N1	0.430947
OCc1cc(-c2ccc(OC(CO)CO)cc2C(F)(F)F)cc2nc3ccccc3n12	0.456810
CCC1(C2=NC3=NC=NC3=N2)CC1NC(=O)NC	0.501295
CCS(=O)(=O)C(C)(O[C@@H]1CCC[C@@H](O)CC1)C(NC)C(=O)OC1CC1	0.364604
CC(O)COc1ccoc1CC1C2CC3CC(C2)CC1C3	0.503220
Cc1cc(C(OC(CN)C2CCCCO2)C(N)C2CNCC(CS(C)(=O)=O)C2)co1	0.420904
CC(O)C(O)C1=NC2=NC(O)=NC2=N1	0.391504
c1cc(C23CCN(CC(c4ccncc4)C2)C3)c2oc3ccc(C4CNCCN4)cc3c2c1	0.479107
CSC1=NC2=NC(c3cccc4ccsc34)=NC2=N1	0.719533
CN(C)C(=O)OC1C2CCC(C2)C1C1CCOC1	0.403248
CCOCC(N)c1ccnc2ccc(-c3ccco3)cc12	0.441495
CCNC(=O)c1cncc(C2CCC(c3cccc(C(N)=O)c3)C(N)C2C(N)CCO)c1O	0.454802
C[C@@H](N)COc1ccc2c(=O)c3cc(C(O)[C@H](N)C(=O)O)ccc3c(=O)oc2c1C(O)CN	0.393586
CCCc1cc2ccccc2nc1-c1csc(C)c1	0.349258
CS(=O)(=O)Cc1ccccc1-c1ccncn1	0.245200
CS(=O)(=O)Cc1cc2nc3cccnc3n2c(-c2cncnc2)c1S(N)(=O)=O	0.440651
CNCc1cccc2ccnc(C3CCC(C(O)(CO)CO)C3)c12	0.563668
CCN(CC)c1c(OC(N)=O)ccn2c1nc1ccc(-c3c(C(=O)NC)[nH]c(=O)[nH]c3=O)nc12	0.539021
CC1CCC1CNCC1CCCCC1	0.469774
C=C(COC(=O)N(C)C)c1cccc(C2=NC3=NC=NC3=N2)c1F	0.797163
NCC[C@@H](N)C(=O)Oc1ccoc1-c1ccc(-c2cccnc2)o1	0.553197
OCC(CO)Oc1cc2cncnc2cc1C1CCCCC1	0.545922
CN(C)C(=O)OC1(C(O)(CO)CO)CC2(C)CCC1C2	0.352625
OCc1cnccc1-c1ocnc1-c1ccccc1Br	0.352452
NCC(Cc1cncnc1-c1cccc2nccnc12)c1ccccn1	0.575027
NCc1ccccc1C1CC(CO)C(c2c[nH]c(=O)[nH]c2=O)CC1c1ccn[nH]1	0.508856
O=C(O)C12CC3CC(C1)C(C1CCOC1)C(C3)C2	0.190810
Cc1ccc(-c2cc(C(O)[C@H](C)O)cc3cccnc23)s1	0.420847
OC1CCCCC1c1c(C2CCC2c2nccs2)ccc2ccoc12	0.396434
CCC(C)c1cccc(C(CC)SC2=NC3=NC=NC3=N2)c1Br	0.690016
CC1CCC1C1CCC1c1ccccc1Oc1cccnc1	0.355730
CS(=O)c1cnc2cc(NCCO)cc(-c3cc(C(O)(CO)CO)ccc3F)c2n1	0.366312
CC(=O)CC1CC(c2cccnc2)CCC1(CO)N[C@H](C)CO	0.484974
CCN(CC)CC(O)C1(CSc2ncncn2)CC2CCCC[C@@H]21	0.493836
C[C@@H](N)C(O)CN(C)S(=O)(=O)C1CCCCC1	0.383294
CCS(=O)(=O)C(Cc1c[nH]c(=O)[nH]c1=O)C(O)(CO)C(OC1=NC2=NC=NC2=N1)c1cc(=O)[nH]c(=O)[nH]1	0.447258
NC(=O)CC1C2CC3CC1CC(OCC(O)CO)(C3)C2	0.518635
CC(=O)OC1CCC(N)C(Oc2ccccc2)(S(C)=O)C1	0.449806
C[C@H](Nc1ncnc(-c2c[nH]c(=O)[nH]c2=O)n1)C(O)c1cccnn1	0.626671
C[C@H](N)COC1(C(F)F)CCCCO1	0.384285
CC(C(N)=O)C1CCCCC1c1cnco1	0.386064
FC(F)(F)CN(CC1=NC2=NC=NC2=N1)c1nccs1	0.522745
CCCC(C)c1c(C2CCOC2)ccc2c1oc1cc(OC(N)=O)cc(CN(C)C(=O)O)c12	0.442557
CN(CS(=O)(=O)CC1COC(c2ccncc2)O1)C(N)=O	0.452229
CC1CCC1c1cnc2c(c1)nc1c(C(O)(CN)C[C@H](O)CO)cccn12	0.515285
CCS(=O)(=O)CCc1ccnc2c1nc1c(C(O)(F)F)cccn12	0.498142
NCC(OC(CN)C1CCCCN1)C1CCC(O)C(C(F)(F)F)C1	0.572690
CC(C)Cc1c(OC(=O)[C@H](N)CO)cncc1OC(=O)[C@@H](N)C(O)c1cncnc1	0.444131
CCC1CCC(C2(C3COCCO3)CC2CCO)C1	0.508028
C[C@H](N)C(O)c1c(NCC[C@@H](N)C(=O)O)cccc1S(=O)(=O)Nc1cc(=O)[nH]c(=O)[nH]1	0.482386
NCC(O)CCNc1csc(C2=NC3=NC=NC3=N2)c1	0.685338
