smiles	score_DTI
O=C(O)CCc1ocnc1C(F)(F)F	0.000089
CC(c1ccncc1)(c1ccc2oc3ccccc3c2c1-c1cc(=O)[nH]c(=O)[nH]1)C(N)c1ncco1	0.000000
CCS(=O)(=O)C(C)c1cccc2cc(C3CCCCC3C(F)(F)F)c(-c3ccc(Br)cc3)nc12	0.000017
COC(=O)O[C@@H]1CCC(C[C@@H](O)CO)[C@@H](O)CC1	0.044019
Cc1cc(C2SCSC2C(O)(F)F)cs1	0.000033
COc1ccc2cc(-c3ccccc3O)oc2c1	0.000700
O=c1[nH]cc(-c2ccc(-c3cnc(C4CC4)o3)nc2)c(=O)[nH]1	0.000000
C[C@H](N)C(O)c1cc(O)c(C23CCCCC2CCCC3)cn1	0.001095
C[C@H](O)C(O)(CCN)c1cccc(C(N)C2=NC3=NC(N(C)C)=NC3=N2)c1	0.999949
CCNC(C)(c1coc(C)c1)c1ncoc1-c1cc(C(=O)O)c2cccnc2c1	0.000202
CC1(c2cc(S(N)(=O)=O)ccc2-c2ncccn2)CC1	0.000000
CN(C)Cc1ccc2cc(-c3cnccc3N)ccc2c1	0.009913
NS(=O)(=O)Nc1c[nH]nc1-c1ccco1	0.028229
NC(=O)c1c(F)cccc1C1CCC1	0.000002
NC(=O)COC(=O)CC(C1CCC(C(N)CO)CC1)C1CNCCN1	0.569371
Cc1cc2ncccc2cc1C1CC(OC[C@@H](C)N)CCCN1	0.000000
CCS(=O)(=O)CCc1nc(-c2cc(=O)[nH]c(=O)[nH]2)cnc1OC(C)CO	0.999994
NCc1cccc(-c2cc(CNC(=O)C3CCC3)cc3cnccc23)c1	0.000021
CN(C)C(=O)OC(C)(C)C1CCCCNC1	0.000166
NC(=O)Oc1c(-c2cccs2)ccc2c1oc1ccc(C3COCCO3)cc12	0.000000
NC(=O)NC1CCCC(c2ccc(C(N)=O)cn2)O1	0.000000
NCC(CC(N)C1CCCCC1N)Oc1cnccn1	0.048452
CCN(CC)C(CO)c1ncnc(C2CCCCC2)n1	0.003077
N[C@@H](C(=O)O)C(O)Cc1ncnc2cc(CCCO)ccc12	0.003081
O=c1oc2cc(C3CCC3C3CCC(NC4CCC4)CC3)ccc2c(=O)c2ccccc12	0.872196
NC(=O)C1CC(C2CC3CCC2C3)CC2CCCCC21	0.020876
CC1CC(c2ncc(C3CC(CS(C)(=O)=O)CCN3)s2)C1	0.044548
CCc1cc2ccccc2nc1C1CC2CCC1C2NCCO	0.000009
CCNC(CO)C1CN(S(=O)(=O)N(C)C)CCN1	0.170056
Nc1ccncc1-c1cc(N)c(-c2cnccn2)cn1	0.000000
C[C@@H](Nc1ccc2c(nc3ccccn32)c1CS(=O)C1CC[C@H]2CCC2C1)C(=O)O	0.006872
c1csc(CC2(c3cnccn3)CC2)c1	0.000000
NCc1ccccc1-c1nc(C(N)CO)co1	0.000054
NCc1ccc(-c2ccc(C(F)(F)F)cc2-c2cccc3ncccc23)cc1	0.000021
O=S(=O)(Cc1cccs1)c1ccco1	0.000018
c1ccc(C2(c3cnccn3)CCC2)cc1	0.000019
c1nc(C2C3CCCCC3CCC2C2CCOC2)cs1	0.000001
CCNC(C)C1OCCNC1(c1cnc2cccc(OCCN)c2c1)C1CCC1	0.048251
C[C@H](COC1CNCCN1)OC1COC(c2ccc(C(F)(F)F)c(S(=O)(=O)N(C)C)c2)CN1	0.000005
NCCc1csc(O)c1	0.006125
CC1CC[C@@H]2C(C1)CC2CN(C)C(N)=O	0.020382
CCC(C(C)NC)C1CCCCC1N	0.028386
O=c1cc(CCc2cccnc2)[nH]c(=O)[nH]1	0.000010
CCCCc1c(CS(C)(=O)=O)ccnc1NC(N)=O	0.298402
CN(C(N)=O)c1cccc(Br)c1-c1ccccc1O	0.000243
NCCCc1cc(-c2cccc(CC(N)=O)c2NCCO)cc2cnccc12	0.219819
C=C(Nc1cnco1)c1cccc(O)c1	0.001962
CNc1ccccc1-c1cnccc1NC1COCC(c2cc3c(-c4cccc(CN)c4)cccc3cn2)O1	0.000257
O=C(O)c1cccc(-c2ccc3c(C4COCC(C(F)(F)F)N4)cncc3c2)c1	0.000000
C[C@@H](N)COC1NCCCCC1C(O)C(N)c1cccnc1	0.000042
CN(CC1CCCCC1(c1cccc(C(O)(F)F)c1)c1ccncn1)C(=O)O	0.000010
CC(C(=O)O)C1(C)CCCC2(CCCC2)C1	0.000001
CN(Cc1ccc2sc(C3CCCC3)cc2c1)C(=O)O	0.001405
COc1cc(C(C)O)c2nc3ccccn3c2n1	0.863581
Oc1c(-c2ccncn2)cccc1C1CCC1	0.000052
C[C@@H](Nc1cc(Cc2cccs2)c(-c2cccc(C(N)=O)c2Br)o1)C(=O)O	0.000000
CC(O)COC1CCC1NCCO	0.000000
CCC(C)CCS(=O)(=O)CCc1ncco1	0.871811
CCS(=O)(=O)CCc1c(C2CCC2)cc2cc(-c3ccncn3)ccc2c1CN(C)C	0.001388
COc1ccccc1C1COC(C23CCCC[C@@H]2CC3)CO1	0.000000
CCN(CCO)CCC1CC(OC(CO)CO)C(Nc2cccc(CN)c2)C(C(C)(C)C)C1	0.000405
CCCC(C)C1CCCC1C1CCCCC1	0.000000
CCC(C)C1(COC(=O)C2CC3CCC2C3)CC2CCCC2C1	0.415300
NC(=O)NCc1c(Cl)cc2nccnc2c1Cl	0.000008
